<h1>一.操作系统概述</h1><hr>1.操作系统为用户提供了哪三种接口 ？, 1.命令行接口（CLI），分为脱机命令接口和联机命令接口 <br> 2.图形接口（GUI） <br> 3.程序接口API(系统调用是程序接口的一部分)
2.多道程序系统有哪些特点?,1.并发性（程序之间，也认为是一种制约性）和并行性（CPU和设备之间）；<br>2.间断性，程序执行需要依赖中断，不是顺序执行的；<br>3.共享性（解决资源被独占问题）
3.批处理系统的主要缺点是什么？,缺少交互性
4.通道技术是一种硬件技术吗，他和通道程序之间有什么关系？,通道技术是一种硬件技术，它是通道程序的基础，二者相互依存
5.为什么说中断是操作系统必须提供的功能？,中断技术能够实现从单道批处理到多道批处理的飞跃，在多任务模式下，操作系统必须提供中断功能
6.计算机通过什么实现从用户态到核心态的转变？,计算通过硬件中断机制实现从用户态到核心态的转换
7.内部中断和外部中断的区别是什么？,区别在于中断的发生是否与当前正在执行的指令有关
8.中断处理需要保存的内容有什么，其中那些内容子程序调用不需要保存？,中断处理过程中需要保存PC和PSW，其中PSW无需在子程序调用中保存，因为PSW并未发生改变
9.时钟中断过程中，时钟中断程序需要更新的部分内容是什么？,1.内核中时钟变量的值<br>2.当前进程占用CPU的时间<br>3.当前进程在事件片中的剩余执行时间
10.在中断过程中，操作系统需要完成哪些工作？,1.保存现场（保存中断屏蔽字，PC，通用寄存器）<br>2.识别中断类型(初始化中断向量表)<br>3.提供中断服务<br>4.恢复现场<br>5.执行断点处程序
11.为什么说中那段向量表适合采用的数据结构是数组?,因为数组支持随机存取O（1），查找给定一个向量地址，能够快速找到对应中断向量位置
12.引导程序分为哪两种？,1.位于主存ROM区BIOS中的boot自举程序，用于启动具体设备<br>2.另一种是位于装有操作系统硬盘的活动分区的引导扇区中的引导程序（启动管理器）用于引导操作系统
13.简述计算机启动引导过程：,先启动设备，在进行长操作系统引导：<br>CPU加电，IP 指向 0xFFFF0H -> 执行JMP指令跳转到主存ROM区BIOS中的boot程序 -> 登记BIOS中中断程序入口（生成中断向量表） -> 检测硬件状态 -> 进行操作系统引导->从硬盘中调入引导扇区的引导程序->初始化中断向量表
